ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
590; 590; 0; False; 0.26; [0.256959]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.20; [0.202391]; [42]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.33; [0.334741]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 0.25; [0.155003, 0.237535, 0.247016, 0.241994, 0.248409, 0.23513, 0.255285, 0.249849, 0.23737, 0.250515, 0.25528, 0.231876, 0.237996, 0.263546, 0.29243, 0.28851, 0.264912, 0.249143, 0.254146, 0.240299]; [47, 3, 6, 3, 9, 4, 6, 7, 6, 5, 6, 7, 8, 7, 4, 6, 7, 4, 6, 15]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 15.30; 0.32; 0
603; 603; 0; False; 0.24; [0.266074, 0.252465, 0.243246, 0.23391, 0.234993, 0.241698, 0.228209, 0.240097, 0.231154, 0.232459, 0.235687, 0.23, 0.269264, 0.246313, 0.187243, 0.246318, 0.250232, 0.274001, 0.249781, 0.241284]; [8, 24, 8, 6, 9, 9, 7, 4, 9, 6, 7, 5, 9, 16, 14, 10, 10, 6, 6, 6]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 5.34; 0.67; 1
615; 615; 0; False; 0.24; [0.238631]; [18]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 616; 0; False; 0.24; [0.264199, 0.240287, 0.240985, 0.247998, 0.236684, 0.245468, 0.240061, 0.245707, 0.241904, 0.23848, 0.241048, 0.238955, 0.238994, 0.235872, 0.250659, 0.250998, 0.243154, 0.237207, 0.239863, 0.235147]; [5, 5, 4, 12, 10, 8, 10, 5, 12, 6, 5, 7, 6, 4, 6, 7, 4, 4, 4, 4]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 2.48; 1.00; 3
629; 629; 0; False; 0.24; [0.244783, 0.234076, 0.228003, 0.228286, 0.237132, 0.240999, 0.223203, 0.228692, 0.236434, 0.235287, 0.232789, 0.236353, 0.220037, 0.229948, 0.276639, 0.239948, 0.247201, 0.251931, 0.245061, 0.254018]; [4, 16, 5, 4, 5, 6, 7, 6, 4, 3, 4, 4, 6, 5, 4, 4, 8, 4, 3, 5]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 8.52; 0.50; 1
630; 630; 0; False; 0.24; [0.244983]; [20]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 0.25; [0.25389, 0.237468, 0.250416, 0.241998, 0.242831, 0.245, 0.249396, 0.247001, 0.244052, 0.246005, 0.256988, 0.233999, 0.239911, 0.242, 0.25447, 0.244997, 0.24714, 0.240999, 0.269866, 0.262996]; [29, 5, 5, 5, 6, 6, 4, 3, 4, 4, 5, 3, 7, 3, 5, 4, 3, 3, 4, 5]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 21.01; 0.24; 0
66; 66; 0; False; 0.07; [0.074654]; [110]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.04; [0.035999]; [78]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 0.24; [0.243252, 0.240998, 0.230859, 0.231001, 0.244139, 0.235996, 0.241501, 0.224998, 0.240084, 0.247755, 0.22536, 0.234503, 0.234639, 0.245094, 0.228, 0.242779, 0.228, 0.234818, 0.241005, 0.229136]; [19, 8, 4, 4, 6, 5, 9, 6, 3, 5, 4, 5, 5, 4, 3, 8, 4, 7, 4, 8]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 7.44; 0.47; 0
