ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
258; 258; 0; False; 0.05; [0.530279, 0.034716, 0.027001, 0.032998, 0.024999, 0.031, 0.029, 0.029999, 0.027998, 0.029003, 0.027997, 0.030999, 0.025001, 0.030006, 0.024995, 0.029999, 0.02924, 0.033002, 0.032887, 0.032]; [3, 14, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 4, 1, 4, 2, 2, 6, 1, 2]; 162; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,93; 8.95; 0.43; 1
259; 259; 0; False; 0.03; [0.031951, 0.026999, 0.036001, 0.024514, 0.028504, 0.027036, 0.027334, 0.029002, 0.034003, 0.029998, 0.026002, 0.030998, 0.029, 0.026001, 0.022995, 0.033001, 0.033004, 0.025998, 0.029999, 0.026]; [2, 2, 1, 3, 1, 1, 1, 13, 2, 2, 4, 3, 2, 2, 2, 2, 2, 1, 4, 2]; 131; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,11; 12.01; 0.31; 7
319; 319; 0; False; 0.06; [0.061002]; [89]; 195; [0.0]; -1.00; ; 8,44; -1.00; -1.00; 0
343; 343; 0; False; 0.03; [0.034691, 0.024998, 0.032, 0.026996, 0.030999, 0.027999, 0.035617, 0.027999, 0.029, 0.026002, 0.034998, 0.028999, 0.028999, 0.027003, 0.031, 0.029663, 0.033, 0.027999, 0.027005, 0.031005]; [2, 21, 2, 3, 1, 4, 3, 1, 1, 4, 4, 3, 2, 2, 2, 4, 1, 4, 1, 3]; 145; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 5,66; 15.80; 0.19; 1
524; 524; 0; False; 0.03; [0.029]; [61]; 175; [0.0]; -1.00; ; 6,17; -1.00; -1.00; 0
539; 539; 0; False; 0.03; [0.033002]; [38]; 157; [0.0]; -1.00; ; 1,46; -1.00; -1.00; 0
553; 553; 0; False; 0.03; [0.032001, 0.029001, 0.032998, 0.027103, 0.031504, 0.026, 0.026999, 0.027, 0.031999, 0.033998, 0.027999, 0.029012, 0.029999, 0.026002, 0.031996, 0.030642, 0.030998, 0.028003, 0.030999, 0.029002]; [50, 4, 7, 3, 3, 16, 2, 3, 4, 3, 4, 4, 3, 3, 3, 2, 6, 3, 5, 5]; 97; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,25; 14.74; 0.32; 0
554; 554; 0; False; 0.03; [0.028003]; [35]; 180; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
568; 568; 0; False; 0.04; [0.037]; [37]; 193; [0.0]; -1.00; ; 2,16; -1.00; -1.00; 0
570; 570; 0; False; 0.03; [0.035, 0.035998, 0.037655, 0.027002, 0.029999, 0.030001, 0.031999, 0.030997, 0.033993, 0.030998, 0.036831, 0.036041, 0.038004, 0.033001, 0.033, 0.035, 0.034996, 0.036377, 0.033613, 0.033582]; [45, 3, 3, 1, 8, 2, 5, 2, 5, 3, 3, 3, 2, 4, 3, 3, 1, 1, 3, 2]; 121; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,04; 25.20; 0.18; 0
