ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
571; 571; 0; False; 0.03; [0.033001, 0.029999, 0.029996, 0.027002, 0.029008, 0.027994, 0.032997, 0.030923, 0.033002, 0.026002, 0.030002, 0.026998, 0.034992, 0.030004, 0.026999, 0.028998, 0.028001, 0.028999, 0.029999, 0.028999]; [3, 11, 5, 3, 1, 3, 3, 3, 1, 3, 1, 4, 3, 3, 1, 3, 4, 3, 3, 7]; 114; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,74; 5.51; 0.64; 1
584; 584; 0; False; 0.03; [0.035997, 0.036001, 0.033999, 0.030999, 0.030997, 0.033011, 0.038, 0.027002, 0.029002, 0.032998, 0.033003, 0.029997, 0.030999, 0.031001, 0.037228, 0.027004, 0.032, 0.03, 0.032997, 0.028]; [3, 3, 20, 3, 8, 1, 2, 7, 1, 3, 3, 3, 4, 2, 3, 3, 3, 5, 1, 3]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,43; 9.26; 0.40; 2
585; 585; 0; False; 0.03; [0.032002]; [69]; 167; [0.0]; -1.00; ; 1,61; -1.00; -1.00; 0
586; 586; 0; False; 0.03; [0.029, 0.038316, 0.034003, 0.028, 0.028998, 0.030995, 0.030293, 0.029997, 0.033998, 0.028999, 0.032001, 0.025, 0.030999, 0.03079, 0.028998, 0.028516, 0.043492, 0.040522, 0.041002, 0.037999]; [5, 34, 3, 3, 7, 2, 1, 2, 6, 5, 3, 1, 2, 3, 1, 3, 1, 3, 1, 3]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,10; 17.67; 0.21; 1
587; 40; -1; False; 0.03; [0.033998]; [7]; 93; [0.0]; -1.00; ; 1,73; -1.00; -1.00; 3
588; 38-34; 1; False; 0.03; [0.033998, 0.033998, 0.032031, 0.034227, 0.032003, 0.030998, 0.03, 0.028998, 0.031003, 0.030996, 0.034001, 0.031999, 0.031997, 0.031708, 0.036, 0.026, 0.03, 0.031002, 0.030998, 0.029673]; [11, 4, 8, 4, 2, 12, 4, 2, 1, 6, 3, 3, 4, 4, 4, 17, 6, 3, 4, 3]; 147; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,68; 4.28; 0.71; 5
589; 589; 0; False; 0.03; [0.028995]; [43]; 120; [0.0]; -1.00; ; 2,43; -1.00; -1.00; 0
590; 590; 0; False; 0.03; [0.034998]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.03; [0.034254]; [39]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.04; [0.036001]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 0.03; [0.038286, 0.030013, 0.033001, 0.031001, 0.030998, 0.028998, 0.034001, 0.029998, 0.034765, 0.033516, 0.031, 0.028003, 0.031998, 0.029001, 0.034998, 0.033005, 0.032481, 0.028999, 0.029527, 0.033985]; [33, 2, 1, 2, 9, 2, 3, 3, 4, 4, 2, 7, 8, 3, 1, 5, 5, 2, 4, 12]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 9.78; 0.36; 0
603; 603; 0; False; 0.03; [0.032004, 0.036997, 0.033857, 0.026911, 0.028519, 0.027999, 0.030003, 0.029999, 0.031003, 0.031394, 0.026324, 0.030999, 0.026007, 0.030993, 0.025992, 0.032001, 0.028999, 0.028998, 0.032001, 0.0294]; [3, 22, 3, 1, 7, 3, 7, 2, 6, 6, 2, 5, 4, 4, 12, 8, 10, 2, 2, 2]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 5.70; 0.55; 1
615; 615; 0; False; 0.03; [0.028]; [11]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 625; 3; False; 0.03; [0.032001, 0.031997, 0.035, 0.028, 0.031, 0.030998, 0.032001, 0.030001, 0.028999, 0.034052, 0.041, 0.039999, 0.031006, 0.029994, 0.034006, 0.027999, 0.033002, 0.028, 0.029001, 0.03]; [1, 4, 3, 6, 10, 8, 3, 1, 7, 1, 5, 2, 4, 4, 1, 4, 3, 4, 2, 4]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 3.22; 0.80; 3
629; 629; 0; False; 0.03; [0.034619, 0.03325, 0.030999, 0.026192, 0.027999, 0.032998, 0.028999, 0.026001, 0.028003, 0.030996, 0.027997, 0.028999, 0.027696, 0.027997, 0.029003, 0.027999, 0.029998, 0.03, 0.032729, 0.027002]; [3, 13, 5, 3, 5, 2, 3, 1, 3, 3, 2, 4, 2, 1, 4, 2, 6, 4, 3, 3]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 7.45; 0.46; 1
630; 630; 0; False; 0.04; [0.035691]; [18]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 0.03; [0.046284, 0.034999, 0.038998, 0.030002, 0.03301, 0.031001, 0.03, 0.03, 0.031002, 0.035043, 0.034, 0.030998, 0.033005, 0.028995, 0.035002, 0.034383, 0.036999, 0.029999, 0.029003, 0.031996]; [5, 5, 1, 1, 3, 4, 4, 2, 2, 2, 3, 1, 2, 2, 5, 3, 1, 2, 3, 2]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 1.96; 1.00; 0
66; 66; 0; False; 0.03; [0.030002]; [106]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.04; [0.039003]; [72]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 0.03; [0.030002, 0.033999, 0.033173, 0.024003, 0.031, 0.026002, 0.024002, 0.027004, 0.024002, 0.026995, 0.027356, 0.025885, 0.024999, 0.027002, 0.027, 0.024997, 0.027001, 0.026, 0.025002, 0.025996]; [14, 7, 2, 2, 1, 4, 3, 2, 3, 5, 4, 1, 4, 2, 2, 4, 3, 7, 1, 3]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 6.12; 0.50; 0
