ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
258; 258; 0; False; 0.50; [0.472104, 0.488961, 0.494476, 0.476072, 0.472143, 0.482662, 0.465615, 0.487876, 0.470752, 0.483947, 0.479022, 0.470924, 0.481107, 0.485911, 0.476671, 0.643148, 0.607384, 0.498538, 0.486418, 0.482748]; [4, 36, 3, 6, 3, 3, 3, 4, 4, 3, 4, 6, 10, 3, 7, 6, 6, 7, 5, 4]; 162; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,93; 16.40; 0.28; 1
259; 259; 0; False; 0.47; [0.494545, 0.472708, 0.462279, 0.469304, 0.467127, 0.469883, 0.476762, 0.466218, 0.469981, 0.453658, 0.47936, 0.469915, 0.478338, 0.468529, 0.467336, 0.466137, 0.483806, 0.471214, 0.512673, 0.493009]; [3, 3, 3, 4, 4, 4, 7, 22, 5, 4, 8, 4, 4, 4, 4, 3, 4, 4, 5, 3]; 131; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,11; 13.52; 0.36; 7
319; 319; 0; False; 0.03; [0.034999]; [89]; 195; [0.0]; -1.00; ; 8,44; -1.00; -1.00; 0
343; 343; 0; False; 0.47; [0.488823, 0.319914, 0.476051, 0.472565, 0.470985, 0.478949, 0.478565, 0.460073, 0.468872, 0.458042, 0.473997, 0.486454, 0.481971, 0.472049, 0.495966, 0.476595, 0.491692, 0.481498, 0.481901, 0.485683]; [5, 33, 4, 4, 4, 8, 5, 5, 5, 7, 6, 5, 4, 4, 4, 5, 5, 7, 3, 7]; 145; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 5,66; 20.99; 0.24; 1
524; 524; 0; False; 0.23; [0.230506]; [62]; 175; [0.0]; -1.00; ; 6,17; -1.00; -1.00; 0
539; 539; 0; False; 0.18; [0.179001]; [46]; 157; [0.0]; -1.00; ; 1,46; -1.00; -1.00; 0
553; 553; 0; False; 0.45; [0.132999, 0.461454, 0.47307, 0.493406, 0.460904, 0.457074, 0.454784, 0.462043, 0.478071, 0.482771, 0.470343, 0.475526, 0.481771, 0.461933, 0.477587, 0.470611, 0.464004, 0.464007, 0.491076, 0.465396]; [51, 10, 7, 12, 5, 17, 6, 14, 7, 7, 11, 5, 5, 5, 16, 7, 6, 6, 7, 9]; 97; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,25; 11.20; 0.33; 0
554; 554; 0; False; 0.48; [0.481782]; [40]; 180; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
568; 568; 0; False; 0.53; [0.526313]; [43]; 193; [0.0]; -1.00; ; 2,16; -1.00; -1.00; 0
570; 570; 0; False; 0.45; [0.131649, 0.537115, 0.524781, 0.600458, 0.17299, 0.499272, 0.487669, 0.478757, 0.475665, 0.463212, 0.469575, 0.470951, 0.464298, 0.465839, 0.466963, 0.483707, 0.468647, 0.480977, 0.464768, 0.471009]; [45, 10, 7, 13, 9, 5, 12, 7, 8, 6, 8, 8, 7, 9, 4, 7, 5, 8, 3, 5]; 121; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,04; 14.76; 0.29; 0
571; 571; 0; False; 0.46; [0.532062, 0.2603, 0.472649, 0.485762, 0.467686, 0.459945, 0.46855, 0.467417, 0.466169, 0.45255, 0.468545, 0.463959, 0.464405, 0.459034, 0.473197, 0.460503, 0.471321, 0.469769, 0.461241, 0.479083]; [4, 24, 8, 3, 5, 6, 12, 5, 6, 3, 4, 8, 4, 5, 6, 5, 6, 8, 5, 7]; 114; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,74; 8.47; 0.50; 1
584; 584; 0; False; 0.48; [0.486673, 0.47173, 0.513232, 0.450652, 0.473358, 0.461609, 0.510489, 0.533781, 0.486571, 0.520885, 0.48535, 0.463926, 0.478822, 0.461862, 0.477235, 0.474076, 0.481065, 0.47367, 0.4747, 0.489972]; [5, 14, 26, 8, 9, 7, 5, 8, 4, 7, 5, 5, 5, 5, 6, 4, 6, 6, 15, 4]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,43; 6.24; 0.58; 2
585; 585; 0; False; 0.05; [0.048]; [74]; 167; [0.0]; -1.00; ; 1,61; -1.00; -1.00; 0
