ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
586; 586; 0; False; 0.47; [0.485213, 0.232025, 0.497002, 0.48676, 0.468476, 0.476836, 0.457584, 0.469261, 0.477438, 0.479944, 0.4645, 0.505188, 0.484839, 0.492147, 0.471934, 0.466868, 0.486954, 0.479289, 0.453998, 0.464663]; [12, 36, 6, 5, 13, 6, 5, 5, 6, 6, 5, 4, 10, 6, 4, 4, 4, 6, 4, 4]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,10; 11.19; 0.36; 1
587; 40; -1; False; 0.47; [0.474847]; [9]; 93; [0.0]; -1.00; ; 1,73; -1.00; -1.00; 3
588; 588; 0; False; 0.48; [0.48665, 0.469257, 0.463928, 0.461872, 0.50942, 0.51585, 0.484477, 0.481447, 0.49861, 0.483035, 0.475261, 0.470184, 0.494234, 0.488598, 0.480015, 0.488823, 0.468474, 0.499593, 0.472709, 0.476805]; [15, 5, 10, 8, 9, 19, 4, 9, 5, 8, 12, 8, 11, 5, 14, 17, 14, 5, 4, 7]; 147; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,68; 2.53; 0.89; 5
589; 589; 0; False; 0.08; [0.081367]; [46]; 120; [0.0]; -1.00; ; 2,43; -1.00; -1.00; 0
590; 590; 0; False; 0.48; [0.479596]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.18; [0.181957]; [42]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.45; [0.45203]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 0.47; [0.148295, 0.456782, 0.481238, 0.502918, 0.494664, 0.490181, 0.481208, 0.476932, 0.46249, 0.482078, 0.47206, 0.46406, 0.483026, 0.481129, 0.481073, 0.480451, 0.489746, 0.481616, 0.487591, 0.502502]; [47, 4, 6, 3, 9, 4, 7, 7, 6, 6, 6, 7, 8, 7, 5, 7, 7, 4, 7, 15]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 15.88; 0.32; 0
603; 603; 0; False; 0.46; [0.463852, 0.529396, 0.463664, 0.477293, 0.469761, 0.470193, 0.472913, 0.470106, 0.492012, 0.472667, 0.479066, 0.466299, 0.464042, 0.471782, 0.173995, 0.467207, 0.465251, 0.559719, 0.492982, 0.456756]; [8, 24, 10, 13, 9, 9, 7, 5, 9, 6, 7, 5, 9, 16, 14, 10, 10, 8, 6, 6]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 5.08; 0.67; 1
615; 615; 0; False; 0.50; [0.504667]; [18]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 4558; 2; False; 0.48; [0.490153, 0.467001, 0.474305, 0.482178, 0.484567, 0.491186, 0.470348, 0.465564, 0.480237, 0.479034, 0.488926, 0.479681, 0.459776, 0.446786, 0.4643, 0.52049, 0.463575, 0.48394, 0.492407, 0.48384]; [5, 5, 4, 12, 13, 8, 14, 5, 12, 6, 6, 7, 6, 5, 6, 7, 5, 5, 5, 12]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 2.38; 0.93; 3
629; 629; 0; False; 0.48; [0.498106, 0.477714, 0.468733, 0.463053, 0.475183, 0.458641, 0.50809, 0.458782, 0.4697, 0.465663, 0.476095, 0.460333, 0.452276, 0.458012, 0.491738, 0.482776, 0.487869, 0.546787, 0.584214, 0.478857]; [5, 16, 6, 4, 5, 6, 7, 7, 4, 5, 5, 4, 6, 5, 4, 4, 10, 5, 7, 5]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 7.00; 0.62; 1
630; 630; 0; False; 0.49; [0.489459]; [21]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 0.49; [0.495449, 0.483885, 0.490343, 0.469848, 0.486835, 0.482506, 0.500798, 0.482675, 0.480211, 0.481057, 0.487074, 0.463585, 0.469049, 0.490806, 0.471018, 0.512153, 0.480928, 0.529763, 0.546178, 0.518162]; [30, 6, 5, 5, 6, 6, 4, 4, 4, 4, 5, 3, 7, 3, 5, 4, 4, 4, 4, 5]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 23.82; 0.23; 0
66; 66; 0; False; 0.08; [0.078004]; [110]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.03; [0.029998]; [78]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 0.47; [0.464643, 0.484408, 0.460896, 0.480597, 0.456879, 0.455115, 0.476106, 0.465197, 0.462878, 0.47667, 0.452217, 0.479688, 0.472868, 0.471139, 0.458455, 0.455577, 0.460027, 0.515173, 0.475103, 0.472661]; [19, 9, 4, 4, 8, 6, 9, 7, 4, 5, 5, 5, 5, 4, 4, 8, 5, 7, 5, 8]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 7.31; 0.47; 0
