ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
258; 258; 0; False; 1.41; [1.427759, 0.888625, 1.400337, 1.366566, 1.468066, 1.402576, 1.469924, 1.436101, 1.436785, 1.449289, 1.440453, 1.454205, 1.561536, 1.451248, 1.383061, 1.426222, 1.394586, 1.445213, 1.401191, 1.416786]; [4, 37, 4, 6, 4, 4, 4, 5, 5, 3, 4, 6, 12, 4, 7, 7, 6, 7, 5, 5]; 162; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,93; 15.77; 0.32; 1
259; 259; 0; False; 1.37; [1.360557, 1.427965, 1.383558, 1.382528, 1.400863, 1.397089, 1.416888, 0.913733, 1.430309, 1.423791, 1.42741, 1.385679, 1.355803, 1.444962, 1.421178, 1.398211, 1.387168, 1.352654, 1.384009, 1.388904]; [3, 5, 4, 4, 5, 4, 7, 22, 5, 4, 8, 4, 7, 5, 4, 4, 5, 4, 5, 4]; 131; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 4,11; 13.52; 0.36; 7
319; 319; 0; False; 0.03; [0.029999]; [89]; 195; [0.0]; -1.00; ; 8,44; -1.00; -1.00; 0
343; 343; 0; False; 1.36; [1.409306, 0.309475, 1.442984, 1.390414, 1.41964, 1.371157, 1.462026, 1.41964, 1.399353, 1.429702, 1.405816, 1.371039, 1.421512, 1.441129, 1.404255, 1.395122, 1.351924, 1.490648, 1.424087, 1.445558]; [5, 33, 5, 5, 4, 8, 5, 5, 7, 8, 6, 5, 5, 5, 6, 6, 5, 7, 5, 7]; 145; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 5,66; 23.77; 0.24; 1
524; 524; 0; False; 0.26; [0.256421]; [62]; 175; [0.0]; -1.00; ; 6,17; -1.00; -1.00; 0
539; 539; 0; False; 0.18; [0.18176]; [46]; 157; [0.0]; -1.00; ; 1,46; -1.00; -1.00; 0
553; 553; 0; False; 1.37; [0.157998, 1.383515, 1.403734, 1.502536, 1.438974, 1.425349, 1.527686, 1.387875, 1.441354, 1.399818, 1.368979, 1.418518, 1.387575, 1.610322, 1.445149, 1.381577, 1.403576, 1.399605, 1.420237, 1.410401]; [51, 10, 7, 12, 6, 17, 7, 15, 9, 9, 11, 5, 8, 7, 17, 8, 6, 7, 8, 9]; 97; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,25; 11.69; 0.33; 0
554; 554; 0; False; 0.64; [0.639514]; [41]; 180; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
568; 568; 0; False; 1.44; [1.439888]; [43]; 193; [0.0]; -1.00; ; 2,16; -1.00; -1.00; 0
570; 570; 0; False; 1.30; [0.123393, 1.398875, 1.36649, 1.396884, 0.167, 1.418215, 1.504076, 1.493993, 1.44297, 1.411591, 1.644463, 1.410041, 1.445618, 1.420467, 1.381569, 1.441167, 1.393476, 1.410623, 1.386717, 1.38553]; [45, 13, 8, 13, 9, 6, 13, 10, 9, 6, 8, 8, 7, 9, 5, 7, 5, 8, 5, 8]; 121; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,04; 14.37; 0.29; 0
571; 571; 0; False; 1.34; [1.409748, 0.257718, 1.439453, 1.501701, 1.395524, 1.395184, 1.324193, 1.413734, 1.428849, 1.394864, 1.400948, 1.408751, 1.393986, 1.401247, 1.405441, 1.382956, 1.39266, 1.381274, 1.338746, 1.409187]; [5, 24, 8, 4, 5, 6, 12, 5, 6, 5, 5, 8, 5, 5, 6, 5, 6, 8, 6, 7]; 114; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,74; 9.73; 0.50; 1
584; 584; 0; False; 1.69; [1.508553, 1.455895, 1.43634, 1.403694, 1.448807, 1.442688, 1.409993, 1.690068, 1.39755, 1.423495, 1.413352, 1.442991, 1.410694, 1.442252, 1.447839, 2.014675, 2.133269, 2.384946, 2.636997, 2.79148]; [5, 16, 26, 11, 9, 7, 5, 11, 5, 10, 5, 6, 6, 5, 8, 5, 6, 6, 17, 5]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,43; 4.91; 0.65; 2
