ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
585; 585; 0; False; 0.07; [0.069999]; [74]; 167; [0.0]; -1.00; ; 1,61; -1.00; -1.00; 0
586; 586; 0; False; 1.38; [1.430472, 0.228273, 1.519698, 1.776796, 1.403168, 1.406376, 1.443608, 1.389814, 1.453142, 1.393842, 1.41047, 1.402397, 1.430027, 1.416873, 1.397681, 1.425091, 1.431262, 1.46691, 1.410777, 1.376071]; [12, 36, 6, 5, 13, 6, 5, 5, 6, 8, 6, 4, 10, 6, 5, 4, 5, 6, 7, 5]; 129; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,10; 11.67; 0.36; 1
587; 40; -1; False; 1.44; [1.436084]; [9]; 93; [0.0]; -1.00; ; 1,73; -1.00; -1.00; 3
588; 588; 0; False; 1.39; [0.896553, 1.35578, 0.443962, 1.447959, 1.410442, 1.553827, 1.455855, 1.476408, 1.966301, 1.818581, 1.389026, 1.440942, 1.40188, 1.414755, 1.385051, 1.250828, 1.431512, 1.393877, 1.402817, 1.383292]; [15, 5, 10, 8, 12, 19, 4, 9, 5, 12, 13, 10, 11, 7, 14, 18, 14, 5, 6, 7]; 147; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,68; 2.32; 0.95; 5
589; 589; 0; False; 0.08; [0.078002]; [46]; 120; [0.0]; -1.00; ; 2,43; -1.00; -1.00; 0
590; 590; 0; False; 0.59; [0.591265]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.20; [0.196655]; [42]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.44; [0.440499]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 1.37; [0.184001, 1.436345, 1.414815, 1.422038, 1.440654, 1.431092, 1.412449, 1.41506, 1.424059, 1.407188, 1.410926, 1.355041, 1.439643, 1.41516, 1.443199, 1.474755, 1.430163, 1.459139, 1.484183, 1.422481]; [47, 6, 7, 5, 9, 5, 7, 7, 6, 7, 7, 7, 9, 7, 5, 8, 7, 6, 8, 17]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 15.20; 0.36; 0
603; 603; 0; False; 1.32; [1.418475, 1.443811, 1.423535, 1.410501, 1.401198, 1.414974, 1.383487, 1.371089, 1.447269, 1.423435, 1.479569, 1.385164, 0.615795, 1.458252, 0.178998, 1.303015, 1.424255, 1.55229, 1.474699, 1.400265]; [9, 24, 10, 14, 9, 14, 7, 8, 9, 7, 8, 5, 10, 16, 14, 13, 10, 12, 6, 7]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 4.51; 0.67; 1
615; 615; 0; False; 0.51; [0.510318]; [19]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 616; 0; False; 1.40; [1.413273, 1.45166, 1.537735, 1.493052, 1.421427, 1.554751, 1.449355, 1.498633, 0.551037, 1.408094, 1.512675, 1.390251, 1.433766, 1.44221, 1.415016, 1.416283, 1.413639, 1.383182, 1.384506, 1.402462]; [6, 5, 4, 20, 13, 10, 16, 5, 13, 6, 8, 7, 9, 6, 6, 9, 8, 5, 6, 12]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 3.57; 0.80; 3
629; 629; 0; False; 1.40; [1.39608, 1.410191, 1.397836, 1.393142, 1.500859, 1.485186, 1.36253, 1.396321, 1.394187, 1.423904, 1.452939, 1.43283, 1.398171, 1.39615, 1.363883, 1.439106, 1.078523, 1.386024, 1.409184, 1.392513]; [6, 16, 6, 7, 6, 7, 8, 7, 5, 5, 6, 6, 8, 5, 5, 6, 15, 7, 7, 5]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 4.16; 0.94; 1
630; 630; 0; False; 1.45; [1.448093]; [21]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 1.45; [0.745809, 1.403988, 1.448862, 1.391443, 1.497995, 1.45682, 1.453312, 1.360332, 1.488255, 1.934966, 1.938175, 1.439519, 1.422531, 1.418997, 1.447901, 1.431379, 1.419521, 1.422936, 1.40103, 1.42679]; [30, 6, 5, 6, 7, 8, 4, 5, 5, 5, 5, 3, 7, 5, 7, 5, 4, 5, 5, 7]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 19.41; 0.27; 0
66; 66; 0; False; 0.07; [0.072997]; [110]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.04; [0.035312]; [78]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 1.36; [0.694378, 1.424094, 1.778635, 1.500845, 1.371656, 1.340418, 1.401144, 1.367668, 1.367974, 1.425702, 1.355547, 1.369613, 1.348394, 1.370681, 1.385773, 1.404619, 1.484419, 1.346488, 1.40584, 0.963923]; [19, 10, 4, 4, 8, 6, 9, 7, 4, 5, 5, 6, 6, 5, 5, 9, 5, 7, 5, 9]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 6.67; 0.53; 0
