ground truth; prediction; ground truth position; georef success; avg time per sheet; times; scores; number of detected keypoints; template scores; registration time; command; percent segmented; mahalanobis; Lowe's test ratio; index rank
588; 38-34; 2; False; 0.06; [0.06033, 0.058, 0.049002, 0.053001, 0.053004, 0.052999, 0.054998, 0.05804, 0.056004, 0.058204, 0.060999, 0.059, 0.055999, 0.050999, 0.057996, 0.059003, 0.059, 0.063908, 0.054999, 0.057002]; [11, 4, 8, 4, 4, 12, 4, 4, 5, 6, 6, 4, 5, 4, 14, 17, 8, 3, 4, 6]; 147; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,68; 3.49; 0.82; 5
589; 589; 0; False; 0.05; [0.052006]; [43]; 120; [0.0]; -1.00; ; 2,43; -1.00; -1.00; 0
590; 590; 0; False; 0.06; [0.060732]; [43]; 155; [0.0]; -1.00; ; 3,98; -1.00; -1.00; 0
600; 600; 0; False; 0.07; [0.069001]; [39]; 177; [0.0]; -1.00; ; 1,63; -1.00; -1.00; 0
601; 601; 0; False; 0.06; [0.060257]; [53]; 140; [0.0]; -1.00; ; 1,11; -1.00; -1.00; 0
602; 602; 0; False; 0.06; [0.056004, 0.0611, 0.051001, 0.052001, 0.056, 0.054002, 0.051, 0.055008, 0.054999, 0.059999, 0.056001, 0.061999, 0.058999, 0.071006, 0.076, 0.059999, 0.068, 0.066552, 0.070002, 0.059998]; [33, 3, 3, 2, 9, 2, 3, 3, 4, 4, 3, 7, 8, 3, 3, 5, 5, 2, 4, 12]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,68; 10.58; 0.36; 0
603; 603; 0; False; 0.06; [0.058999, 0.059998, 0.054281, 0.057999, 0.061006, 0.052997, 0.053996, 0.052999, 0.056002, 0.051997, 0.052, 0.053543, 0.061, 0.054998, 0.056001, 0.057001, 0.056003, 0.058008, 0.053999, 0.060001]; [4, 22, 6, 3, 7, 3, 7, 3, 9, 6, 4, 5, 9, 4, 12, 8, 10, 2, 6, 6]; 126; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 1,65; 5.91; 0.55; 1
615; 615; 0; False; 0.05; [0.049]; [17]; 85; [0.0]; -1.00; ; 2,53; -1.00; -1.00; 0
616; 625; 3; False; 0.06; [0.063999, 0.058001, 0.055999, 0.052001, 0.055001, 0.055002, 0.059005, 0.055755, 0.056004, 0.056, 0.060001, 0.054013, 0.058995, 0.059005, 0.059002, 0.059038, 0.060995, 0.060002, 0.056999, 0.059999]; [5, 4, 3, 9, 10, 8, 10, 3, 10, 3, 5, 2, 4, 4, 1, 7, 4, 4, 3, 4]; 146; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 3,75; 1.93; 1.00; 3
629; 629; 0; False; 0.06; [0.056999, 0.053999, 0.055004, 0.05, 0.050882, 0.053002, 0.051996, 0.055005, 0.058001, 0.057999, 0.059003, 0.053002, 0.055017, 0.056763, 0.053004, 0.066996, 0.055998, 0.055, 0.059004, 0.052001]; [3, 13, 5, 3, 5, 3, 3, 3, 4, 3, 2, 4, 2, 3, 4, 3, 6, 4, 3, 3]; 99; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,16; 9.34; 0.46; 1
630; 630; 0; False; 0.06; [0.059998]; [20]; 179; [0.0]; -1.00; ; 2,40; -1.00; -1.00; 0
655; 655; 0; False; 0.06; [0.055001, 0.064999, 0.058013, 0.056, 0.056998, 0.053001, 0.056998, 0.053001, 0.055999, 0.057998, 0.064803, 0.059999, 0.053, 0.057, 0.052001, 0.058001, 0.053002, 0.055998, 0.061735, 0.053937]; [21, 5, 2, 3, 3, 4, 4, 2, 4, 4, 3, 1, 2, 2, 5, 3, 1, 3, 3, 3]; 150; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 2,37; 15.59; 0.24; 0
66; 66; 0; False; 0.09; [0.087518]; [106]; 206; [0.0]; -1.00; ; 1,98; -1.00; -1.00; 0
668; 668; 0; False; 0.03; [0.031004]; [78]; 164; [0.0]; -1.00; ; 1,10; -1.00; -1.00; 0
669; 669; 0; False; 0.05; [0.067521, 0.065999, 0.059001, 0.054, 0.058002, 0.049001, 0.049001, 0.058335, 0.055, 0.051002, 0.051, 0.054001, 0.048997, 0.049005, 0.053999, 0.049001, 0.046998, 0.054188, 0.055999, 0.054003]; [15, 7, 2, 3, 5, 4, 4, 2, 3, 5, 4, 1, 4, 3, 2, 7, 3, 7, 3, 3]; 66; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; -1.00; ; 0,95; 6.40; 0.47; 0
